# ----------------------------------------
# Manual: Session manual campaign name
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
# 
# All Users
# Start date: 20260719
# End date: 20260815
Session manual campaign name,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Key events,Event count,Total revenue
(not set),82,94,10,12.51063829787234,0.12195121951219512,4.319148936170213,0.10638297872340426,0,406,0
(organic),5,22,14,51.13636363636363,2.8,12.590909090909092,0.6363636363636364,0,277,0
(referral),3,33,25,108.12121212121212,8.333333333333334,14.484848484848484,0.7575757575757576,0,478,0
